Time,Time Since Power-On,Charge-Enable Output Active,Discharge-Enable Output Active,Pack Amperage (Current),Pack Voltage,Pack State of Charge (SOC)
Wed May 21 17:29:49 PDT 2025,3759.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:49 PDT 2025,3759.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:49 PDT 2025,3759.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:49 PDT 2025,3759.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:49 PDT 2025,3759.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:50 PDT 2025,3760.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:50 PDT 2025,3760.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:50 PDT 2025,3760.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:50 PDT 2025,3760.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:50 PDT 2025,3760.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:50 PDT 2025,3760.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:50 PDT 2025,3760.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:50 PDT 2025,3760.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:50 PDT 2025,3760.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:50 PDT 2025,3760.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:51 PDT 2025,3761.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:51 PDT 2025,3761.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:51 PDT 2025,3761.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:51 PDT 2025,3761.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:51 PDT 2025,3761.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:51 PDT 2025,3761.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:51 PDT 2025,3761.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:51 PDT 2025,3761.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:51 PDT 2025,3761.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:52 PDT 2025,3762.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:52 PDT 2025,3762.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:52 PDT 2025,3762.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:52 PDT 2025,3762.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:52 PDT 2025,3762.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:52 PDT 2025,3762.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:52 PDT 2025,3762.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:52 PDT 2025,3762.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:52 PDT 2025,3762.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:52 PDT 2025,3762.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:53 PDT 2025,3763.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:53 PDT 2025,3763.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:53 PDT 2025,3763.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:53 PDT 2025,3763.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:53 PDT 2025,3763.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:53 PDT 2025,3763.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:53 PDT 2025,3763.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:53 PDT 2025,3763.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:53 PDT 2025,3763.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:53 PDT 2025,3763.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:54 PDT 2025,3764.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:54 PDT 2025,3764.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:54 PDT 2025,3764.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:54 PDT 2025,3764.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:54 PDT 2025,3764.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:54 PDT 2025,3764.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:54 PDT 2025,3764.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:54 PDT 2025,3764.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:54 PDT 2025,3764.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:54 PDT 2025,3764.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:55 PDT 2025,3765.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:55 PDT 2025,3765.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:55 PDT 2025,3765.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:55 PDT 2025,3765.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:55 PDT 2025,3765.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:55 PDT 2025,3765.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:55 PDT 2025,3765.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:55 PDT 2025,3765.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:55 PDT 2025,3765.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:55 PDT 2025,3765.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:56 PDT 2025,3766.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:56 PDT 2025,3766.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:56 PDT 2025,3766.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:56 PDT 2025,3766.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:56 PDT 2025,3766.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:56 PDT 2025,3766.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:56 PDT 2025,3766.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:56 PDT 2025,3766.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:56 PDT 2025,3766.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:56 PDT 2025,3767.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:57 PDT 2025,3767.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:57 PDT 2025,3767.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:57 PDT 2025,3767.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:57 PDT 2025,3767.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:57 PDT 2025,3767.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:57 PDT 2025,3767.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:57 PDT 2025,3767.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:57 PDT 2025,3767.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:57 PDT 2025,3767.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:58 PDT 2025,3768.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:58 PDT 2025,3768.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:58 PDT 2025,3768.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:58 PDT 2025,3768.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:58 PDT 2025,3768.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:58 PDT 2025,3768.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:58 PDT 2025,3768.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:58 PDT 2025,3768.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:58 PDT 2025,3768.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:58 PDT 2025,3768.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:59 PDT 2025,3769.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:59 PDT 2025,3769.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:59 PDT 2025,3769.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:59 PDT 2025,3769.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:59 PDT 2025,3769.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:59 PDT 2025,3769.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:59 PDT 2025,3769.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:59 PDT 2025,3769.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:59 PDT 2025,3769.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:59 PDT 2025,3769.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:30:00 PDT 2025,3770.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:30:00 PDT 2025,3770.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:30:00 PDT 2025,3770.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:30:00 PDT 2025,3770.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:30:00 PDT 2025,3770.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:30:00 PDT 2025,3770.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:30:00 PDT 2025,3770.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:30:00 PDT 2025,3770.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:30:00 PDT 2025,3770.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:30:00 PDT 2025,3770.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:30:01 PDT 2025,3771.000000,1.000000,0.000000,0.000000,87.600000,3.500000
